abt-5,0.1,0.2,0.2,0.1,0.2,0.1,2,3,0.5,0.5,0.3,0.3,0.6,1,1,0.1,0.7,0.5,17,1,,,,,
abu-1,0.1,4,0.1,3,6,0.5,1,1,0.8,36,0.2,,,,,,,,,,,,,,
abu-2,0.7,0.2,0.2,2,0.3,1,0.2,0.1,14,,,,,,,,,,,,,,,,
abu-3,0.1,0.1,0.1,0.1,0.5,0.7,2,,,,,,,,,,,,,,,,,,
abu-4,0.3,0.1,0.6,0.1,0.2,0.5,11,0.2,,,,,,,,,,,,,,,,,
abu-5,0.4,,,,,,,,,,,,,,,,,,,,,,,,
abu-6,1,5,3,0.3,0.1,1,5,,,,,,,,,,,,,,,,,,
abu-7,2,0.7,3,3,0.4,1,0.1,0.6,0.9,3,0.1,,,,,,,,,,,,,,
abu-8,0.9,0.8,1,0.1,4,20,28,15,11,2,0.7,0.1,57,0.3,3,0.7,0.3,7,12,24,28,,,,
abu-9,0.1,,,,,,,,,,,,,,,,,,,,,,,,
abu-10,0.6,0.3,0.2,0.5,3,12,3,11,9,2,0.2,0.1,14,3,0.1,0.2,0.3,8,16,,,,,,
abu-11,0.3,0.6,0.3,4,1,18,20,15,23,3,1,0.2,41,0.3,4,0.6,0.8,3,0.1,7,39,,,,
ace-1,0.2,0.4,2,27,0.3,8,7,7,4,2,2,4,7,0.1,19,0.4,2,2,7,1,0.9,7,6,7,
ace-2,2,0.9,123,8,19,0.1,31,12,18,5,3,3,10,13,2,19,2,6,4,14,3,6,1,6,11
ace-3,9,0.7,34,52,65,0.1,32,9,9,2,0.9,0.9,7,22,1,55,0.6,9,0.7,7,4,21,14,3,26
ace-4,3,2,14,4,14,2,2,0.9,0.3,0.1,2,3,0.2,4,0.3,2,0.2,2,0.8,13,3,1,1,,
acn-1,11,0.3,356,0.7,1,223,35,92,32,2,5,328,6,182,8,112,3,5,50,9,22,48,137,,
aco-1,22,24,56,17,58,17,151,171,14,209,55,81,14,85,119,54,120,125,99,18,118,28,115,81,92
aco-2,62,340,160,62,141,125,205,295,243,192,96,188,261,85,11,185,41,48,178,282,95,124,103,142,120
acr-2,0.1,17,4,3,3,2,4,1,0.9,0.1,3,0.3,0.1,5,0.1,0.6,0.4,4,0.1,1,2,2,0.8,,
acr-3,115,0.6,1,1,2,1,0.9,0.9,1,0.2,1,0.2,5,0.1,0.5,2,0.2,0.4,1,15,0.3,,,,
acr-5,2,4,0.3,0.2,7,2,9,0.6,1,0.2,4,3,3,3,0.5,0.4,3,0.6,0.6,15,1,,,,
acr-6,0.4,0.1,0.5,0.5,0.5,0.3,0.1,0.1,0.9,0.1,1,0.1,0.1,0.5,0.1,0.6,3,0.1,,,,,,,
acr-7,0.3,0.1,5,2,1,0.6,1,0.7,0.6,6,2,7,0.7,3,0.4,0.9,0.4,6,0.3,12,2,,,,
acr-8,2,2,37,0.2,5,9,5,4,2,0.2,2,8,0.3,31,0.3,2,1,4,0.6,3,0.8,3,10,,
acr-9,0.1,7,2,6,0.2,1,2,0.9,0.4,0.3,0.1,0.5,0.1,0.1,7,0.2,0.4,0.3,0.4,0.8,0.9,0.8,1,,
acr-10,0.4,1,2,0.5,0.2,0.3,0.2,0.1,0.3,0.1,3,0.2,0.3,0.2,0.1,0.3,3,2,2,0.3,,,,,
acr-11,0.3,0.5,4,0.4,2,1,1,1,0.9,0.3,1,1,0.1,7,0.4,0.8,1,2,0.6,3,0.2,12,1,,
acr-12,6,14,4,9,0.2,4,4,4,2,0.8,0.4,3,2,0.3,9,0.4,1,0.7,5,0.9,2,0.3,2,3,
acr-14,0.2,23,0.9,3,0.1,2,0.9,2,0.6,0.6,2,2,0.2,3,0.2,1,0.2,2,0.2,1,0.5,7,0.8,,
acr-15,0.5,4,2,5,0.8,5,3,7,4,1,0.6,5,3,6,0.1,2,2,6,0.1,1,0.6,8,2,,
acr-16,1,0.3,3,3,4,1,6,5,6,5,2,0.9,3,2,0.9,8,4,1,3,5,3,3,5,5,2
acr-17,0.1,0.4,2,0.3,0.4,2,0.7,2,0.6,0.6,0.6,1,0.1,0.5,1,1,0.6,0.6,2,1,0.3,2,26,0.9,
acr-18,0.1,0.3,17,0.2,0.5,4,2,6,0.9,1,0.6,4,0.1,0.9,0.2,0.2,2,3,0.3,0.4,1,3,0.3,,
acr-19,48,4,7,4,12,3,4,1,0.5,0.2,4,2,0.1,5,0.4,0.9,0.4,4,0.4,1,2,2,0.8,,
acr-20,0.2,0.5,0.7,5,1,0.3,5,2,4,0.9,0.9,0.3,4,0.3,0.4,4,0.6,0.8,0.5,6,1,1,0.6,15,1
