AT1G31150,5,6,3,
AT4G15540,20,26,7,
AT2G20760,55,36,67,
AT2G44820,9,10,27,
AT1G61430,2,3,4,
AT5G41050,11,24,5,
AT1G14610,36,43,77,
AT1G73805,3,0.4,4,
AT1G79840,4,4,1,
AT1G13340,3,1,0.6,
AT4G01940,65,65,157,
AT5G09290,0.5,0.1,0.3,
AT5G09295,3,1,2,
AT1G67870,313,162,39,
AT1G66930,0.5,0.4,0.2,
AT3G26030,31,43,24,
AT1G18040,6,6,8,
AT4G00090,14,13,5,
AT5G14430,26,37,15,
AT5G10950,10,14,29,
AT4G16015,0.7,0.6,0.6,
AT2G23520,5,8,13,
AT2G18120,3,1,6,
AT1G26620,3,7,8,
AT2G27230,12,18,23,
AT1G22710,68,78,23,
AT4G17940,20,30,66,
AT5G47210,297,213,724,
AT2G19830,60,69,193,
AT1G80260,9,15,12,
AT5G42360,3,4,4,
AT2G47840,61,27,19,
AT5G01090,15,28,34,
AT3G24760,7,4,6,
AT1G01070,1,5,3,
AT3G20860,4,6,6,
AT1G12120,25,36,36,
AT1G23390,69,218,84,
AT1G29990,29,33,31,
AT5G07730,3,3,4,
AT3G15550,7,9,34,
AT5G06100,4,7,6,
AT2G21960,88,75,31,
AT5G62460,15,13,6,
AT5G02010,3,8,10,
AT5G21940,17,150,57,
AT3G17950,6,7,3,
AT1G29660,166,79,106,
AT1G53300,15,20,21,
AT4G17050,46,45,11,
AT4G21220,1,2,3,
AT3G06400,24,36,47,
AT3G10450,4,5,0.7,
AT5G43010,26,24,25,
AT4G19390,10,7,15,
AT4G13530,25,29,31,
AT1G50450,44,29,61,
AT3G13180,23,26,33,
AT4G27970,0.3,0.4,0.3,
AT1G23970,6,2,0.7,
AT1G11475,31,25,22,
AT1G79540,3,3,4,
AT1G74710,8,10,3,
AT4G14620,7,23,10,
AT1G47578,0.4,2,0.9,
AT3G47070,261,101,117,
AT3G14200,11,11,15,
AT3G14205,15,16,17,
AT3G10985,9,25,12,
AT3G10980,8,9,15,
AT3G26850,4,5,18,
AT3G12587,33,16,2,
AT3G12580,5,4,12,
AT1G79090,17,19,19,
AT2G31260,7,8,6,
AT2G28950,58,60,30,
AT3G44670,13,21,1,
AT3G58840,8,10,79,
AT2G24250,2,3,1,
AT1G52160,6,3,6,
AT3G53740,120,173,303,
AT5G05440,7,16,2,
AT3G48570,8,9,4,
AT4G15975,0.2,0.4,0.6,
AT3G52290,8,9,8,
AT3G02870,71,36,29,
AT1G02970,3,6,2,
AT3G02875,3,4,2,
AT3G55740,4,7,4,
AT3G58590,1,1,1,
AT2G17620,2,2,5,
AT5G63780,26,22,18,
AT1G60420,11,15,11,
AT1G08600,6,9,11,
AT1G15200,24,37,155,
AT2G26500,924,592,899,
AT1G19580,16,16,13,
ATCG00740,460,4,329,
AT1G14150,79,34,35,
AT3G48390,0.9,5,0.7,
AT5G27450,11,10,6,
AT2G42290,3,4,4,
AT3G49620,0.9,5,1,
AT3G42630,8,13,9,
AT1G19050,26,13,28,
AT1G59620,3,5,16,
AT4G15020,5,10,17,
AT1G01770,10,7,16,
AT5G67230,2,3,2,
AT4G22220,80,91,61,
AT3G04110,4,6,1,
AT3G50590,17,25,10,
AT1G03730,2,6,4,
AT3G03830,1,1,3,
AT5G20150,19,25,8,
AT4G09820,2,0.1,0.5,
AT5G51730,10,11,4,
AT2G26270,3,4,4,
AT1G59990,16,17,49,
AT4G29070,21,25,6,
AT1G34270,3,5,4,
AT3G47910,13,15,16,
AT1G79450,0.4,0.4,1,
AT4G22910,7,4,7,
AT3G54900,176,91,98,
AT4G26210,20,12,24,
AT3G58030,12,17,22,
AT3G50620,4,3,4,
AT5G48240,13,11,38,
AT4G12340,29,24,37,
AT2G29140,11,14,9,
AT5G54510,23,44,6,
AT5G50460,69,37,54,
AT5G58610,0.1,0.2,0.8,
AT5G13840,9,13,11,
AT3G15610,14,19,9,
AT1G71970,6,35,11,
AT5G18780,2,1,0.8,
AT2G35170,3,4,6,
AT2G39840,11,11,10,
AT3G05932,0.9,1,0.2,
AT3G05937,3,3,3,
AT3G05936,4,6,18,
AT4G33910,11,15,13,
AT2G37990,33,24,75,
AT2G38465,8,2,17,
AT2G38460,6,8,8,
AT1G50890,2,3,7,
AT1G70590,8,9,3,
AT2G28230,13,10,7,
AT1G69260,0.9,5,1,
AT5G26260,1,1,0.1,
AT5G52910,4,4,5,
AT4G30750,17,13,7,
AT5G28900,11,13,9,
AT1G72990,4,6,1,
AT5G57240,1,3,0.1,
AT1G70620,24,38,26,
AT2G36480,8,8,5,
AT1G70470,5,3,2,
AT1G47260,38,30,49,
AT5G14230,2,3,2,
AT5G08400,6,6,13,
AT1G72660,0.4,0.1,0.3,
AT2G39330,9,0.4,6,
AT5G11550,10,14,15,
AT5G39840,5,3,13,
AT2G36730,3,2,6,
AT1G77010,0.6,0.3,1,
AT3G02680,2,3,5,
ATCG00820,827,4,717,
AT1G22550,4,7,10,
AT5G19780,112,99,121,
AT4G35980,18,11,9,
AT4G35985,1,1,3,
AT4G35987,4,6,4,
AT4G31408,2,1,1,
AT1G48200,9,7,13,
AT4G02640,16,19,12,
AT4G31400,2,1,1,
AT4G32660,15,19,22,
AT4G36750,17,15,19,
AT5G66620,0.8,0.5,2,
AT4G23630,50,51,42,
AT3G07300,13,16,11,
AT3G03480,0.5,0.2,0.5,
AT1G62750,280,204,352,
AT1G67500,3,3,2,
AT2G44660,6,7,3,
AT1G12320,2,2,4,
AT3G04650,24,18,39,
AT3G22060,8,46,2,
AT4G18930,20,18,13,
AT4G01200,2,2,1,
AT2G37460,27,11,8,
AT1G17665,1,1,33,
AT4G08305,1,3,6,
AT3G03150,135,102,19,
AT4G08300,7,4,2,
AT1G29465,5,8,2,
AT1G29460,6,8,0.8,
AT4G33130,1,2,3,
AT2G35900,5,8,4,
AT3G23890,11,15,20,
AT1G11670,5,4,5,
AT2G47310,4,4,6,
AT1G27070,5,8,10,
AT5G13300,16,20,10,
AT1G65900,10,5,7,
